Municipio;¡rea;AÒo
FLORESTA;0,194975;2015
FLORESTA;0,533836;2015
FLORESTA;0,967901;2015
FLORESTA;0,060921;2015
FLORESTA;12,436052;2015
FLORESTA;0,315086;2015
FLORESTA;0,060921;2015
FLORESTA;0,120094;2015
FLORESTA;0,060922;2015
FLORESTA;0,060923;2015
FLORESTA;0,206136;2015
FLORESTA;0,404624;2015
FLORESTA;0,060927;2015
FLORESTA;0,327105;2015
FLORESTA;0,088989;2015
FLORESTA;0,021036;2015
FLORESTA;0,139931;2015
G¡MEZA;0,121521;2015
GARAGOA;0,06099;2015
GARAGOA;0,06099;2015
GARAGOA;0,121636;2015
G‹IC¡N;0,447609;2015
G‹IC¡N;0,060832;2015
G‹IC¡N;0,060832;2015
G‹IC¡N;0,205967;2015
G‹IC¡N;0,121406;2015
G‹IC¡N;0,060837;2015
G‹IC¡N;0,238834;2015
G‹IC¡N;0,060834;2015
G‹IC¡N;0,194825;2015
G‹IC¡N;0,056956;2015
G‹IC¡N;0,088908;2015
G‹IC¡N;0,430431;2015
G‹IC¡N;0,103326;2015
G‹IC¡N;0,779717;2015
G‹IC¡N;0,060848;2015
G‹IC¡N;0,827171;2015
IZA;0,12014;2015
IZA;0,338774;2015
IZA;0,060945;2015
LABRANZAGRANDE;0,060961;2015
LABRANZAGRANDE;0,120171;2015
LABRANZAGRANDE;0,239264;2015
LABRANZAGRANDE;0,1216;2015
LABRANZAGRANDE;0,060976;2015
LABRANZAGRANDE;0,103493;2015
LABRANZAGRANDE;0,1202;2015
LABRANZAGRANDE;0,121607;2015
LABRANZAGRANDE;0,120193;2015
LABRANZAGRANDE;0,206331;2015
LABRANZAGRANDE;0,254183;2015
LABRANZAGRANDE;0,591665;2015
LABRANZAGRANDE;0,120208;2015
LABRANZAGRANDE;0,624487;2015
LABRANZAGRANDE;0,060975;2015
LABRANZAGRANDE;2,211155;2015
LABRANZAGRANDE;0,121621;2015
LABRANZAGRANDE;0,862494;2015
LABRANZAGRANDE;0,060978;2015
LABRANZAGRANDE;0,060978;2015
LABRANZAGRANDE;0,17854;2015
LABRANZAGRANDE;0,321572;2015
LA VICTORIA;0,208869;2015
LA UVITA;0,120057;2015
LA UVITA;1,542108;2015
VILLA DE LEYVA;1,794913;2015
VILLA DE LEYVA;0,239123;2015
VILLA DE LEYVA;0,514725;2015
VILLA DE LEYVA;0,178386;2015
MACANAL;0,121648;2015
MACANAL;0,060996;2015
MACANAL;0,060996;2015
MACANAL;0,12024;2015
MACANAL;0,057049;2015
MACANAL;0,060997;2015
MACANAL;0,121651;2015
MACANAL;0,057049;2015
MACANAL;0,121653;2015
MACANAL;0,060998;2015
MACANAL;0,206392;2015
MACANAL;0,060999;2015
MACANAL;0,060999;2015
MACANAL;0,211045;2015
MACANAL;0,120248;2015
MARIPÕ;0,121496;2015
MARIPÕ;0,183667;2015
MARIPÕ;0,239107;2015
MARIPÕ;0,763092;2015
MARIPÕ;0,060926;2015
MARIPÕ;0,120102;2015
MARIPÕ;0,060926;2015
MARIPÕ;0,120102;2015
MARIPÕ;0,121512;2015
MARIPÕ;0,351486;2015
MIRAFLORES;0,183875;2015
MIRAFLORES;0,060987;2015
MIRAFLORES;0,178569;2015
MIRAFLORES;0,121633;2015
MONGUA;0,124165;2015
MONGUA;0,060941;2015
MONGUA;0,120132;2015
MONGUA;0,120132;2015
MONGUA;1,639651;2015
MONGUA;0,120132;2015
MONGUA;0,120157;2015
MONGUA;1,313041;2015
MONGUÕ;0,12014;2015
MONIQUIR¡;0,120061;2015
MONIQUIR¡;0,716395;2015
MONIQUIR¡;0,404467;2015
MONIQUIR¡;0,12004;2015
MONIQUIR¡;0,183575;2015
MONIQUIR¡;0,475065;2015
MONIQUIR¡;0,121442;2015
MONIQUIR¡;0,183615;2015
MONIQUIR¡;0,060896;2015
MONIQUIR¡;0,121443;2015
MONIQUIR¡;0,238991;2015
MONIQUIR¡;0,28453;2015
MONIQUIR¡;0,060896;2015
MONIQUIR¡;0,120043;2015
MONIQUIR¡;0,060897;2015
MONIQUIR¡;0,121446;2015
MONIQUIR¡;0,060897;2015
MONIQUIR¡;0,474968;2015
